review,clean_text,rating,sentiment
"Beli starlight tp katane habis dikirim warna hitam
Harusnya barang barang NEW tapi garansi sudah di aktifkan tanggal 25 Mei seller sudah dichat via wa tp ga di bls..
saya cuma mau konfirmasi nya
padahal tanggal 9 juli
hadeh ga koperatif banget",beli starlight katane habis kirim warna hitam barang barang new garansi aktif tanggal mei seller dichat via bls konfirmasi nya tanggal juli hadeh koperatif banget,1,negative
"Dapat barang minus di layar, seperti ada kilatan saat awal buka kunci, pas pengajuan komplain seller malah bilang kalau barang sudah sampai, padahal komplain saya soal barang yg cacat.!!!",barang minus layar kilat buka kunci pas aju komplain seller bilang barang komplain barang cacat,1,negative
Kondisi segel nya udah kebuka gatau ini ori apa bukan yg jelas bkn new lg,kondisi segel nya udah buka gatau ori bkn new,1,negative
"saya udh nunggu garansi IBOX 1bulanan, hpnya gak selesai2, masih ada keterangannya diservice,
.
kalo TOKO ini jualan produk yg baik gakan perlu di service2 segala
ini masalah PRODUK RUSAK PERLU DISERVICE DAN LAMAAAAA, BUKAN MASALAH IMEI !",udh nunggu garansi ibox bulan hpnya gak selesai terang diservice kalo toko jual produk gakan service produk rusak diservice lamaaaaa imei,1,negative
"Saya beli barangnya hilang di pengiriman (Anteraja)
Status pengiriman tdk berjalan.
Setelah seminggu macet baru bisa ajukan komplain ke tokopedia untuk diperiksa.
untungnya uang kembali, hanya rugi di biaya asuransi yg gag kembali.
Uang 12 juta nyangkut hampir 2 minggu yg ujung2nya gag jadi terbeli hpnya.
Hindari pengiriman menggunakan Anteraja.",beli barang hilang kirim anteraja status kirim tdk jalan minggu macet aju komplain tokopedia periksa untung uang rugi biaya asuransi gag uang juta nyangkut minggu ujung gag beli hpnya hindar kirim anteraja,1,negative
"Baru kali ini gw ngasih bintang 1 ke seller. Dan baru kali ini gw bener2 kecewa dengan SELLER.
Okay first of all ini kali PERTAMA dan TERAKHIR gw belanja di iSmile, dan gw kapok, sangat kapok. Barang yg gw dapet barang defect! Dan defectnya BANYAK! 1. Dent di deket lubang mic 2. Lecet titik di dekat tombol power 3. Baret rambut di layar deket kamera. Dan ok krn kesalahaan gw yg udah keburu aktivasi, dan g tau kalau nemu defect, jangan diaktivasi dulu. Gw dikasih kompensasi sebesar 200k. Oke gw terima. TAPI ternyata g itu aja DEFECT DEVICE INI, SEMINGGU KEMUDIAN GW NEMU DI LAYAR DEVICE INI ADA BLACK SPOT! Kok gw baru nyadar setelah seminggu pemakaian? Ya karna kelihatannya di warna abu-abu/gray, jd gw g notice. DAN PIHAK iSmile menawarkan GW UNTUK TRADE IN, DAN APA? Device CACAT INI MALAH DIHARGAI 3 JUTA! DENGAN ALESAN KONDISI DEVICE YG CACAT INI, PADAHAL INI DEVICE CACAT DARI SANANYA. ENTENG BANGET NGASIH HARGA SEGITU, dan BERALASAN SEPERTI ITU.
G lagi gw mau belanja disini 👎🏻",kali ngasih bintang seller kali bener kecewa seller okay first all kali belanja ismile kapok kapok barang dapet barang defect defectnya dent deket lubang mic lecet titik tombol power baret rambut layar deket kamera krn kesalahaan udah keburu aktivasi tau nemu defect diaktivasi kasih kompensasi oke terima aja defect device minggu nemu layar device black spot nyadar minggu pakai karna warna abuabugray notice ismile tawar trade device cacat harga juta alesan kondisi device cacat device cacat sana enteng banget ngasih harga segitu alas belanja,1,negative
"Saya beli 2 unit langsung IP3 midnight dan starlight

Dan ini adl Experience pertama belanja di toko ini , dan saya merasa menyesal , bbrp hal yg menyebabkan saya kurang nyaman

1. Admin yg bales chat beda” orang

2. Di chat awal Toko ini mengatakan kita bisa Request mau iPhone yg kode ibox , gdn , atau bli” namun kalau ada ya stock nya , jd klo stock nya gak ada akan dikirim random

3. Toko ini menyediakan pengiriman “SAMEDAY” oleh sebab itu saya bayar Ongkir nya dgn harapan agar lgsung bisa dipakai namun ternyata barang tak kunjung tiba hingga pk 24.00 wib

4. Toko ini tergolong toko yg pelit , utk pembelian iphone sebanyak 2 unit tidak ada bonus apapun

5. Packing’ nya Sangat Pelit , hanya dilapisi Bubble Wrap , sedangkan toko” lain menambahkan kardus luar lagi utk memastikan isi di dalam tetap aman

6. Dan yg paling buat saya kecewa ,
Saya transaksi tanggal (3.3.25) di harga final 7.8 Juta

Bodohnya saya , padahal di iBOX Official Store brand new segel hanya di harga final Rp 7.3 Juta Brand New 😭 dan DIPASTIKAN Kalian dpt Kode PA/A alias Garansi Resmi TAM / IBOX

Semoga Pengalaman saya ini bisa membantu temen” sebelum memutuskan pembelian ,

Terima Kasih & Sehat sll 🙏🏻",beli unit langsung midnight starlight adl experience belanja toko sesal bbrp sebab nyaman admin bales chat beda orang chat toko request iphone kode ibox gdn bli stock nya klo stock nya gak kirim random toko sedia kirim sameday bayar ongkir nya dgn harap lgsung pakai barang kunjung wib toko golong toko pelit utk beli iphone unit bonus apa packing nya pelit lapis bubble wrap toko kardus utk isi aman kecewa transaksi tanggal harga final juta bodoh ibox official store brand new segel harga final juta brand new dpt kode paa alias garansi resmi tam ibox moga alam bantu temen putus beli terima kasih sehat sll,1,negative
"adminnya Ngga Jelas banget, ngga amanah barang ngga sampai",adminnya ngga banget ngga amanah barang ngga,1,negative
"sellernya ngga amanah, barang ngga sampai, di retur malah banyak alasan",sellernya ngga amanah barang ngga retur alas,1,negative
"Pelayanannya kurang bagus disini, salah beli baru 5 menit di cancel aja ngga bisa, padahal status masih menunggu konfirmasi. mau di cancel malah dan udah di chat malah di ganti jadi dikirim. udah chat tapi pelayanannya kaya batu. mending ngga usah beli disini dari pada repot dan menyesal nantinya. harga tidak menghianati pelayanan dan barang.  awas nyesel, awas nyesel",layan bagus salah beli menit cancel aja ngga status tunggu konfirmasi cancel udah chat ganti kirim udah chat layan kaya batu mending ngga beli repot sesal harga menghianati layan barang awas nyesel awas nyesel,1,negative
"bad SELLER the most BAD
official store tp pelayanan nya BURUuK
mending cari official lain
dus jelek/kotor ga dicek lg
pas di komplen lama sampe capek bgt ketiknua",bad seller the most bad official store layan nya buruuk mending cari official dus jelekkotor cek pas komplen sampe capek bgt ketiknua,1,negative
"tidak bisa di cancel
padahal hanya selang beberapa menit saja",cancel selang menit,1,negative
"Salah pilih toko, tidak rekomended, udah mah harganya diatas harga retail, diproses packing seminggu, kalo emang barang kosong infoin aja gausah nyari stok dulu, tawarin opsi warna lain, jujur aja gausah pake alesan 12.12. Giliran kelar packing proses pickup kurir sampe 24 jam dibiarin doang ngga kelar, apa kek didrop di kurir kan bisa, dichat cuma diread doang. Sampe customer harus chat CS Tokped sendiri kocak. Heran, pengalaman terparah transaksi di tokped 👎🏼 Barangnya so far aman unit GDN 👍🏼",salah pilih toko rekomended udah mah harga atas harga retail proses packing minggu kalo emang barang kosong infoin aja gausah nyari stok tawarin opsi warna jujur aja gausah pake alesan gilir kelar packing proses pickup kurir sampe jam dibiarin doang ngga kelar kek drop kurir dichat diread doang sampe customer chat tokped kocak heran alam parah transaksi tokped barang far aman unit gdn,1,negative
baru tahu kalau garansinya ga bisa di ibox dealer. baru beli seminggu baterry udah drop. waktu ditanyakan ke cs dilempar ke aftersales. after salesnya dihubungi ga dijawab2,garansi ibox dealer beli minggu baterry udah drop lempar aftersales after salesnya hubung,1,negative
beli hape hampir 9jt dipacking cuman KANTONG KRESEK ya cuman DISINI,beli hape dipacking cuman kantong kresek cuman,1,negative
"pesen yang ID/A malah dikirim SA/A


banyak alasan ,dan lepas tangan ,lebih ke toko menjual kalo barang sampe selebihnya tanggungan konsumen …….",sen ida kirim saa alas lepas tangan toko jual kalo barang sampe lebih tanggung konsumen,1,negative
proses pengiriman sangat lama dari sebelumnya,proses kirim,1,negative
"Sudah d chat minta nota nya tidak dikirim, bilang mau d email tdk juga kebiasaan pedagang egois kalo uang sdh diterima pelayanan tdk lagi dipentingkan.",chat nota nya kirim bilang email tdk biasa dagang egois kalo uang sdh terima layan tdk penting,1,negative
"penjual tidak kooperatif, memanfaatkan situasi dan ajimumpung, ga rekomen toko ini, menjijikan.

******** bikin orang susah blok!!!",jual kooperatif manfaat situasi ajimumpung rekomen toko jijik bikin orang susah blok,1,negative
"pengiriman 1 Minggu br sampai dgn alasan 12 12 ramai orderan.
di pancing order lg bs sampai 2 hari.",kirim minggu dgn alas ramai order pancing order,1,negative
"kapok belanja disini. 
adminnya salah kirim warna
udah gitu ngotot lg jawabannya
mending beli di igoods aja adminnya ramah2",kapok belanja adminnya salah kirim warna udah gitu ngotot jawab mending beli igoods aja adminnya ramah,1,negative
**** nysel blnjq dsni,nysel blnjq dsni,1,negative
tidak sesuai permintaan,sesuai minta,1,negative
Buruk.,buruk,1,negative
"ditanya yg gdn ready ga, bilangnya ready, trs suruh tulis d note, udh d tulis tpi ttp aja yg di kirim lain, dptnya yg digimap, klo tau g ada grsnya konfirmasi dlu, tau gtu saya beli d toko lain",gdn ready bilang ready trs suruh tulis note udh tulis tpi ttp aja kirim dptnya digimap klo tau grsnya konfirmasi dlu tau gtu beli toko,2,negative
"Agak kecewa sih sama pelayanan nya, beberapa kali dichatt pun hanya diread doang ga direspon. Padahal saya butuh cepat, & request ubah pengiriman dengan biaya saya yg tanggung pun gabisa.",kecewa sih layan nya kali dichatt diread doang direspon butuh cepat request ubah kirim biaya tanggung gabisa,2,negative
"awalnya disampaikan ada bonus, casing dan tamper glass. pas barangnya nyampe bonusnya ngga ada. pas ditanyakan order sy ngga dpt bonus...",bonus casing tamper glass pas barang nyampe bonus ngga pas order ngga dpt bonus,2,negative
"pelayanan kurang, ditanya untuk dikirimkan yg tahun 2023 tapi tg dikirim tahun 2021. Sudah mengikuti arahan penjual dengan menulis note, tapi tetap saja salah yg dikirimkan",layan kirim kirim ikut arah jual tulis note salah kirim,2,negative
"Saya belum menerima barang ini
Alamat saya di jl Anggrek vanda blok AG no 31 sektor 2.2 Anggrek Loka",terima barang alamat anggrek vanda blok sektor anggrek loka,2,negative
tolong untuk packing pengiriman Lebih aman lagi karena setelah saya cek kemarin ada bagian Dus box yang peyok di ujung itu disebabkan oleh bubble wrap yang sangat tipis bisa dihitung paling cuma sekitar 4 lembar aja tidak ada kardus tambahan paling tidak jika tidak ada kardus gunakan bubble wrap yang tebal ini sangat beresiko.,tolong packing kirim aman cek kemarin dus box peyok ujung sebab bubble wrap tipis hitung lembar aja kardus tambah kardus bubble wrap tebal resiko,3,neutral
"pengiriman oke walaupun lama pick upnya. masalahnya ada pada bagian kamera, kotor banget, udah dibersihin pakai kayu putih, tetep masih ada nyisa kotornya, kesel banget lah",kirim oke pick upnya kamera kotor banget udah dibersihin pakai kayu putih tetep nyisa kotor kesel banget,3,neutral
Pesen kode sa a di kirim id a,sen kode kirim,3,neutral
"Saya MINTA yang garansi DARI GDN/BLi BLi, Malah dikirim yg DIGIMAP. Sedikit kecewa. PAdahal saya order yg ketiga X nya.",garansi gdnbli bli kirim digimap kecewa order tiga nya,3,neutral
"Barang bagus. Kurirnya yang payah, kalau kurir seperti ini sebaiknya tidak usah digunakan.",barang bagus kurir payah kurir,3,neutral
"cukup kecewa karna minta kode PA/A tp dikasih SA/A. padahal yg lain bisa dapet PA/A di warna sama yg saya order. seharusnya sebelum dikirim bisa konfirmasi dulu ke buyer, jadi ada opsi pilih warna lain

semoga aftersalesnya sama sama bagus dan barangnya awet",kecewa karna kode paa kasih saa dapet paa warna order kirim konfirmasi buyer opsi pilih warna moga aftersalesnya bagus barang awet,3,neutral
"req produksi 2023 katanya di prioritaskan tapi ujung"" nya produk 2021",req produksi prioritas ujung nya produk,3,neutral
"Minta PA/A di kirim SA/A
Percuma reuest kode kalau di kirim asal2an
Mending beli di tempat lain lebih murah sama aja",paa kirim saa reuest kode kirim asal mending beli murah aja,3,neutral
"Barang Sesuai resmi original, kotak tersegel rapi bukan repack jadi pastinya barang mulus dan aman, dapet ID/A mantap lah. tapi sorry bintang 3 karena sempat kendala nyari driver dan bukannya ngasih solusi malah muter muter penjelasannya, setelah ngomel baru dibolehkan pickup sendiri karena sebelumnga gak dibolehin. tapi ttp rugi di ongkir jadinya",barang sesuai resmi original kotak segel rapi repack pasti barang mulus aman dapet ida mantap sorry bintang kendala nyari driver ngasih solusi muter muter jelas ngomel boleh pickup sebelumnga gak dibolehin ttp rugi ongkir,3,neutral
"Pesan tanggal 25 malem, sampai tanggal 27 sore, percuma bayar lebih mahal biar sampai lebih cepet, hasilnya pengiriman sama seperti reguler. Barang berfungsi dengan normal, sayang sekali harus dicoreng dengan pengalaman berbelanja yang buruk.",pesan tanggal malem tanggal sore bayar mahal biar cepet hasil kirim reguler barang fungsi normal sayang coreng alam belanja buruk,3,neutral
"Disarankan packing di tambah dus tambahan, karna utk pengiriman jauh ke Bali bikin dusnya penyok2. Utk harga beli disini terbilang murah banget, bonus TG dan case. 
Unitnya oke banget, cuma minta unit no model PA/A di kasih nya SA/A  beda :(",saran packing dus tambah karna utk kirim bal bikin dus penyok utk harga beli bilang murah banget bonus case unit oke banget unit model paa kasih nya saa beda,3,neutral
"Aku Pilih kurir toko supaya aman dan barang sampai dengan tepat dan semuanya sesuai ekspektasi barang sampai dengan selamat. namun packaging dari toko sangat tidak aman dan worth it untuk senilai hand phone di atas 10jt! karena hanya dipack dengan kantong kresek hitam, minimal pakai goodiebag karena value barang ini gak murah.

Untuk hpnya ori, greenpeel, dpt bonus softcase, dan tempered glass.",pilih kurir toko aman barang sesuai ekspektasi barang selamat packaging toko aman worth nila hand phone dipack kantong kresek hitam minimal pakai goodiebag value barang gak murah hpnya ori greenpeel dpt bonus softcase tempered glass,3,neutral
uda tanya garansi ****** bilang ready tapi yg dikirim garansi TAM,uda garansi bilang ready kirim garansi tam,3,neutral
"mintanya garansi tam, sudah di info di pesan juga dikasihnya gsn",minta garansi tam info pesan kasih gsn,3,neutral
"barang bagus, tp masa belanja harga 12jtan pake kantong plastik item, minimal goodie bag laaaaahhh",barang bagus belanja harga jtan pake kantong plastik item minimal goodie bag laaaaahhh,3,neutral
minta PA/A di kasih SA/A tanpa konfirmasi,paa kasih saa konfirmasi,3,neutral
minta pa atau di yang dateng malah sa,dateng,3,neutral
Request PA/A dikirim SA,request paa kirim,3,neutral
"Barang ori segel green peal. 
Pengiriman juga cepat hanya 3 hari ke luar pulau. 
Hanya saja barang yang dikirimkan tidak sesuai dengan note yang diberikan, di note ditulis SA/A yang dikirim malah ID/A. 
Seller informati dan ramah.
Packaging aman karena bubblewarp yang diberikan sangat tebal.",barang ori segel green peal kirim cepat pulau barang kirim sesuai note note tulis saa kirim ida seller informati ramah packaging aman bubblewarp tebal,4,positive
"Alhamdulillah hp nya tiba dengan selamat, 
Namun agak kecewa dengan packingannya yg tipis, sampe box hp nya penyok sedikit dibagian atas kiri dan pengirimannya jugamolor 2 hari. 
Semoga hpnya berfungsi dengan baik kedepannya.",alhamdulillah nya selamat kecewa packingannya tipis sampe box nya penyok bagi kiri kirim jugamolor moga hpnya fungsi depan,4,positive
"barang masih disegel, sebagai pengguna pertama kali masih bingung ini gimana operasiinnya. free tg tapi gak ada softcase 😭. utk penggunaannya masih belajar. barangkali seller berkenan welcome mau mengajari..saya akan terbantu. semoga awet. terimakasih",barang segel guna kali bingung gimana operasiinnya free gak softcase utk guna ajar barangkali seller kenan welcome mengajarisaya bantu moga awet terimakasih,4,positive
Alhamdulillah mulus sinyal aktif. makasih,alhamdulillah mulus sinyal aktif makasih,4,positive
"barang Ok, ada kartu garansi mantapp. tapi PO seminggu lama bener",barang kartu garansi mantapp minggu bener,4,positive
"Kwalitas packing agak2 lembut ya. Hp nya aman, dan memang original dikasih IDA/A sesuai request jg. Bagus sih. Cuma khawatir di packaging aja. Tks",kwalitas packing lembut nya aman original kasih idaa sesuai request bagus sih khawatir packaging aja tks,4,positive
Respon seller cepat. Pengiriman cepat cuma sayang aja di kasih kode yang ID/A padahal request kalo ga PA atau SA,respon seller cepat kirim cepat sayang aja kasih kode ida request kalo,4,positive
Barang resmi dari ****** .. tapi harga masih terlalu mahal dibanding yang lain. dan pengiriman cukup lama,barang resmi harga mahal banding kirim,4,positive
"Barang ori, tapi pengiriman lama, tidak dapat bonus sesuai dskripsi",barang ori kirim bonus sesuai dskripsi,4,positive
"overall barangnya bagus dan asli. Dan plusnya dpt harga lebih murah dari ibox juga. Dikirimin bonus tempered glass yg tidak sesuai, sebenernya kalo bilang ""maaf"" dari awal gaada masalah, yg jd minusnya malah saya dilempar suruh lapor by Whatsapp yg sampai skrg gak dibls hahahaha, malah di phpin.

Next klo ada customer yg kendalanya sama kyk saya bilang aja maaf, toh ini cuma bonus, kita ga akan minta pergantian kak.",overall barang bagus asli plus dpt harga murah ibox dikirimin bonus tempered glass sesuai sebenernya kalo bilang maaf gaada minus lempar suruh lapor whatsapp skrg gak dibls hahahaha phpin next klo customer kendala kyk bilang aja maaf bonus ganti kak,4,positive
"iPhonenya bagus, tapi maaf dikasih bintang 4 karena agak kecewa kartu ucapan yg dipesan gak ada. Padahal ini hadiah buat istri.😟",iphonenya bagus maaf kasih bintang kecewa kartu ucap pes gak hadiah istri,4,positive
"barang sampai dengan selamat, tanpa cacat original ibox terimakasih",barang selamat cacat original ibox terimakasih,4,positive
"Barang oke,cuma dipengirimannya aja ngeselin",barang okecuma kirim aja ngeselin,4,positive
"Ada baret di ring kamera bawah, over all its okay sih",baret ring kamera over all its okay sih,4,positive
"saran aja packing di kasih dus biar aman, jangan bublewrap doang",saran aja packing kasih dus biar aman bublewrap doang,4,positive
"barang original tidak ada kendala
cuman kemaren problem di ekspedisi barang 3 hari stuck di jakarta dan packing kurang tebal sampai TG pecah & Dusbok hpnya pesok",barang original kendala cuman kemaren problem ekspedisi barang stuck jakarta packing tebal pecah dusbok hpnya pesok,4,positive
"driver dari tokopedia sangat lambat tumben sekali untung penjual menyarankan untuk self pickup kalau tidak sangat sayang. overall barang bagus semoga awet.

trims",driver tokopedia lambat tumben untung jual saran self pickup sayang overall barang bagus moga awet trims,4,positive
"beli pas harga flashsale. lumayan good deals.
cs responsif, beli pink dikasih blue tp konfirmask dulu, katanya stok habis. isoke.
pengiriman pickup langsung karena takut dibawa kabur ojol wkwk ternyata pas smp sana barangnya masih digudang huft akhirnya nunggu 1 jam 15 menit di tmpt pickup.

dicatatan sama dichat udh bilang minta kode PA/A tp yg dikirim SA/A huft semoga awet deh barangnya dan gampang klaim garansinya.",beli pas harga flashsale lumayan good deals responsif beli pink kasih blue konfirmask stok habis isoke kirim pickup langsung takut bawa kabur ojol wkwk pas smp barang gudang huft nunggu jam menit tmpt pickup catat dichat udh bilang kode paa kirim saa huft moga awet deh barang gampang klaim garansi,4,positive
Di caption bisa request kode unit nya. Ternyata percuma request garansi ibox kode PA/A yang di kirim malah random.,caption request kode unit nya request garansi ibox kode paa kirim random,4,positive
