review,rating
"Beli starlight tp katane habis dikirim warna hitam
Harusnya barang barang NEW tapi garansi sudah di aktifkan tanggal 25 Mei seller sudah dichat via wa tp ga di bls..
saya cuma mau konfirmasi nya
padahal tanggal 9 juli
hadeh ga koperatif banget",1
"Dapat barang minus di layar, seperti ada kilatan saat awal buka kunci, pas pengajuan komplain seller malah bilang kalau barang sudah sampai, padahal komplain saya soal barang yg cacat.!!!",1
Kondisi segel nya udah kebuka gatau ini ori apa bukan yg jelas bkn new lg,1
"saya udh nunggu garansi IBOX 1bulanan, hpnya gak selesai2, masih ada keterangannya diservice,
.
kalo TOKO ini jualan produk yg baik gakan perlu di service2 segala
ini masalah PRODUK RUSAK PERLU DISERVICE DAN LAMAAAAA, BUKAN MASALAH IMEI !",1
"Saya beli barangnya hilang di pengiriman (Anteraja)
Status pengiriman tdk berjalan.
Setelah seminggu macet baru bisa ajukan komplain ke tokopedia untuk diperiksa.
untungnya uang kembali, hanya rugi di biaya asuransi yg gag kembali.
Uang 12 juta nyangkut hampir 2 minggu yg ujung2nya gag jadi terbeli hpnya.
Hindari pengiriman menggunakan Anteraja.",1
"Baru kali ini gw ngasih bintang 1 ke seller. Dan baru kali ini gw bener2 kecewa dengan SELLER.
Okay first of all ini kali PERTAMA dan TERAKHIR gw belanja di iSmile, dan gw kapok, sangat kapok. Barang yg gw dapet barang defect! Dan defectnya BANYAK! 1. Dent di deket lubang mic 2. Lecet titik di dekat tombol power 3. Baret rambut di layar deket kamera. Dan ok krn kesalahaan gw yg udah keburu aktivasi, dan g tau kalau nemu defect, jangan diaktivasi dulu. Gw dikasih kompensasi sebesar 200k. Oke gw terima. TAPI ternyata g itu aja DEFECT DEVICE INI, SEMINGGU KEMUDIAN GW NEMU DI LAYAR DEVICE INI ADA BLACK SPOT! Kok gw baru nyadar setelah seminggu pemakaian? Ya karna kelihatannya di warna abu-abu/gray, jd gw g notice. DAN PIHAK iSmile menawarkan GW UNTUK TRADE IN, DAN APA? Device CACAT INI MALAH DIHARGAI 3 JUTA! DENGAN ALESAN KONDISI DEVICE YG CACAT INI, PADAHAL INI DEVICE CACAT DARI SANANYA. ENTENG BANGET NGASIH HARGA SEGITU, dan BERALASAN SEPERTI ITU.
G lagi gw mau belanja disini 👎🏻",1
"Saya beli 2 unit langsung IP3 midnight dan starlight

Dan ini adl Experience pertama belanja di toko ini , dan saya merasa menyesal , bbrp hal yg menyebabkan saya kurang nyaman

1. Admin yg bales chat beda” orang

2. Di chat awal Toko ini mengatakan kita bisa Request mau iPhone yg kode ibox , gdn , atau bli” namun kalau ada ya stock nya , jd klo stock nya gak ada akan dikirim random

3. Toko ini menyediakan pengiriman “SAMEDAY” oleh sebab itu saya bayar Ongkir nya dgn harapan agar lgsung bisa dipakai namun ternyata barang tak kunjung tiba hingga pk 24.00 wib

4. Toko ini tergolong toko yg pelit , utk pembelian iphone sebanyak 2 unit tidak ada bonus apapun

5. Packing’ nya Sangat Pelit , hanya dilapisi Bubble Wrap , sedangkan toko” lain menambahkan kardus luar lagi utk memastikan isi di dalam tetap aman

6. Dan yg paling buat saya kecewa ,
Saya transaksi tanggal (3.3.25) di harga final 7.8 Juta

Bodohnya saya , padahal di iBOX Official Store brand new segel hanya di harga final Rp 7.3 Juta Brand New 😭 dan DIPASTIKAN Kalian dpt Kode PA/A alias Garansi Resmi TAM / IBOX

Semoga Pengalaman saya ini bisa membantu temen” sebelum memutuskan pembelian ,

Terima Kasih & Sehat sll 🙏🏻",1
"adminnya Ngga Jelas banget, ngga amanah barang ngga sampai",1
"sellernya ngga amanah, barang ngga sampai, di retur malah banyak alasan",1
"Pelayanannya kurang bagus disini, salah beli baru 5 menit di cancel aja ngga bisa, padahal status masih menunggu konfirmasi. mau di cancel malah dan udah di chat malah di ganti jadi dikirim. udah chat tapi pelayanannya kaya batu. mending ngga usah beli disini dari pada repot dan menyesal nantinya. harga tidak menghianati pelayanan dan barang.  awas nyesel, awas nyesel",1
"bad SELLER the most BAD
official store tp pelayanan nya BURUuK
mending cari official lain
dus jelek/kotor ga dicek lg
pas di komplen lama sampe capek bgt ketiknua",1
"tidak bisa di cancel
padahal hanya selang beberapa menit saja",1
"Salah pilih toko, tidak rekomended, udah mah harganya diatas harga retail, diproses packing seminggu, kalo emang barang kosong infoin aja gausah nyari stok dulu, tawarin opsi warna lain, jujur aja gausah pake alesan 12.12. Giliran kelar packing proses pickup kurir sampe 24 jam dibiarin doang ngga kelar, apa kek didrop di kurir kan bisa, dichat cuma diread doang. Sampe customer harus chat CS Tokped sendiri kocak. Heran, pengalaman terparah transaksi di tokped 👎🏼 Barangnya so far aman unit GDN 👍🏼",1
baru tahu kalau garansinya ga bisa di ibox dealer. baru beli seminggu baterry udah drop. waktu ditanyakan ke cs dilempar ke aftersales. after salesnya dihubungi ga dijawab2,1
beli hape hampir 9jt dipacking cuman KANTONG KRESEK ya cuman DISINI,1
"pesen yang ID/A malah dikirim SA/A


banyak alasan ,dan lepas tangan ,lebih ke toko menjual kalo barang sampe selebihnya tanggungan konsumen …….",1
proses pengiriman sangat lama dari sebelumnya,1
"Sudah d chat minta nota nya tidak dikirim, bilang mau d email tdk juga kebiasaan pedagang egois kalo uang sdh diterima pelayanan tdk lagi dipentingkan.",1
"penjual tidak kooperatif, memanfaatkan situasi dan ajimumpung, ga rekomen toko ini, menjijikan.

******** bikin orang susah blok!!!",1
"pengiriman 1 Minggu br sampai dgn alasan 12 12 ramai orderan.
di pancing order lg bs sampai 2 hari.",1
"kapok belanja disini. 
adminnya salah kirim warna
udah gitu ngotot lg jawabannya
mending beli di igoods aja adminnya ramah2",1
**** nysel blnjq dsni,1
tidak sesuai permintaan,1
Buruk.,1
"ditanya yg gdn ready ga, bilangnya ready, trs suruh tulis d note, udh d tulis tpi ttp aja yg di kirim lain, dptnya yg digimap, klo tau g ada grsnya konfirmasi dlu, tau gtu saya beli d toko lain",2
"Agak kecewa sih sama pelayanan nya, beberapa kali dichatt pun hanya diread doang ga direspon. Padahal saya butuh cepat, & request ubah pengiriman dengan biaya saya yg tanggung pun gabisa.",2
"awalnya disampaikan ada bonus, casing dan tamper glass. pas barangnya nyampe bonusnya ngga ada. pas ditanyakan order sy ngga dpt bonus...",2
"pelayanan kurang, ditanya untuk dikirimkan yg tahun 2023 tapi tg dikirim tahun 2021. Sudah mengikuti arahan penjual dengan menulis note, tapi tetap saja salah yg dikirimkan",2
"Saya belum menerima barang ini
Alamat saya di jl Anggrek vanda blok AG no 31 sektor 2.2 Anggrek Loka",2
tolong untuk packing pengiriman Lebih aman lagi karena setelah saya cek kemarin ada bagian Dus box yang peyok di ujung itu disebabkan oleh bubble wrap yang sangat tipis bisa dihitung paling cuma sekitar 4 lembar aja tidak ada kardus tambahan paling tidak jika tidak ada kardus gunakan bubble wrap yang tebal ini sangat beresiko.,3
"pengiriman oke walaupun lama pick upnya. masalahnya ada pada bagian kamera, kotor banget, udah dibersihin pakai kayu putih, tetep masih ada nyisa kotornya, kesel banget lah",3
Pesen kode sa a di kirim id a,3
"Saya MINTA yang garansi DARI GDN/BLi BLi, Malah dikirim yg DIGIMAP. Sedikit kecewa. PAdahal saya order yg ketiga X nya.",3
"Barang bagus. Kurirnya yang payah, kalau kurir seperti ini sebaiknya tidak usah digunakan.",3
"cukup kecewa karna minta kode PA/A tp dikasih SA/A. padahal yg lain bisa dapet PA/A di warna sama yg saya order. seharusnya sebelum dikirim bisa konfirmasi dulu ke buyer, jadi ada opsi pilih warna lain

semoga aftersalesnya sama sama bagus dan barangnya awet",3
"req produksi 2023 katanya di prioritaskan tapi ujung"" nya produk 2021",3
"Minta PA/A di kirim SA/A
Percuma reuest kode kalau di kirim asal2an
Mending beli di tempat lain lebih murah sama aja",3
"Barang Sesuai resmi original, kotak tersegel rapi bukan repack jadi pastinya barang mulus dan aman, dapet ID/A mantap lah. tapi sorry bintang 3 karena sempat kendala nyari driver dan bukannya ngasih solusi malah muter muter penjelasannya, setelah ngomel baru dibolehkan pickup sendiri karena sebelumnga gak dibolehin. tapi ttp rugi di ongkir jadinya",3
"Pesan tanggal 25 malem, sampai tanggal 27 sore, percuma bayar lebih mahal biar sampai lebih cepet, hasilnya pengiriman sama seperti reguler. Barang berfungsi dengan normal, sayang sekali harus dicoreng dengan pengalaman berbelanja yang buruk.",3
"Disarankan packing di tambah dus tambahan, karna utk pengiriman jauh ke Bali bikin dusnya penyok2. Utk harga beli disini terbilang murah banget, bonus TG dan case. 
Unitnya oke banget, cuma minta unit no model PA/A di kasih nya SA/A  beda :(",3
"Aku Pilih kurir toko supaya aman dan barang sampai dengan tepat dan semuanya sesuai ekspektasi barang sampai dengan selamat. namun packaging dari toko sangat tidak aman dan worth it untuk senilai hand phone di atas 10jt! karena hanya dipack dengan kantong kresek hitam, minimal pakai goodiebag karena value barang ini gak murah.

Untuk hpnya ori, greenpeel, dpt bonus softcase, dan tempered glass.",3
uda tanya garansi ****** bilang ready tapi yg dikirim garansi TAM,3
"mintanya garansi tam, sudah di info di pesan juga dikasihnya gsn",3
"barang bagus, tp masa belanja harga 12jtan pake kantong plastik item, minimal goodie bag laaaaahhh",3
minta PA/A di kasih SA/A tanpa konfirmasi,3
minta pa atau di yang dateng malah sa,3
Hmm,3
Request PA/A dikirim SA,3
"Barang ori segel green peal. 
Pengiriman juga cepat hanya 3 hari ke luar pulau. 
Hanya saja barang yang dikirimkan tidak sesuai dengan note yang diberikan, di note ditulis SA/A yang dikirim malah ID/A. 
Seller informati dan ramah.
Packaging aman karena bubblewarp yang diberikan sangat tebal.",4
"Alhamdulillah hp nya tiba dengan selamat, 
Namun agak kecewa dengan packingannya yg tipis, sampe box hp nya penyok sedikit dibagian atas kiri dan pengirimannya jugamolor 2 hari. 
Semoga hpnya berfungsi dengan baik kedepannya.",4
"barang masih disegel, sebagai pengguna pertama kali masih bingung ini gimana operasiinnya. free tg tapi gak ada softcase 😭. utk penggunaannya masih belajar. barangkali seller berkenan welcome mau mengajari..saya akan terbantu. semoga awet. terimakasih",4
Alhamdulillah mulus sinyal aktif. makasih,4
"barang Ok, ada kartu garansi mantapp. tapi PO seminggu lama bener",4
"Kwalitas packing agak2 lembut ya. Hp nya aman, dan memang original dikasih IDA/A sesuai request jg. Bagus sih. Cuma khawatir di packaging aja. Tks",4
Respon seller cepat. Pengiriman cepat cuma sayang aja di kasih kode yang ID/A padahal request kalo ga PA atau SA,4
Barang resmi dari ****** .. tapi harga masih terlalu mahal dibanding yang lain. dan pengiriman cukup lama,4
"Barang ori, tapi pengiriman lama, tidak dapat bonus sesuai dskripsi",4
"overall barangnya bagus dan asli. Dan plusnya dpt harga lebih murah dari ibox juga. Dikirimin bonus tempered glass yg tidak sesuai, sebenernya kalo bilang ""maaf"" dari awal gaada masalah, yg jd minusnya malah saya dilempar suruh lapor by Whatsapp yg sampai skrg gak dibls hahahaha, malah di phpin.

Next klo ada customer yg kendalanya sama kyk saya bilang aja maaf, toh ini cuma bonus, kita ga akan minta pergantian kak.",4
"iPhonenya bagus, tapi maaf dikasih bintang 4 karena agak kecewa kartu ucapan yg dipesan gak ada. Padahal ini hadiah buat istri.😟",4
"barang sampai dengan selamat, tanpa cacat original ibox terimakasih",4
"Barang oke,cuma dipengirimannya aja ngeselin",4
"Ada baret di ring kamera bawah, over all its okay sih",4
"saran aja packing di kasih dus biar aman, jangan bublewrap doang",4
"barang original tidak ada kendala
cuman kemaren problem di ekspedisi barang 3 hari stuck di jakarta dan packing kurang tebal sampai TG pecah & Dusbok hpnya pesok",4
"driver dari tokopedia sangat lambat tumben sekali untung penjual menyarankan untuk self pickup kalau tidak sangat sayang. overall barang bagus semoga awet.

trims",4
"beli pas harga flashsale. lumayan good deals.
cs responsif, beli pink dikasih blue tp konfirmask dulu, katanya stok habis. isoke.
pengiriman pickup langsung karena takut dibawa kabur ojol wkwk ternyata pas smp sana barangnya masih digudang huft akhirnya nunggu 1 jam 15 menit di tmpt pickup.

dicatatan sama dichat udh bilang minta kode PA/A tp yg dikirim SA/A huft semoga awet deh barangnya dan gampang klaim garansinya.",4
Di caption bisa request kode unit nya. Ternyata percuma request garansi ibox kode PA/A yang di kirim malah random.,4
Barang original sesuai iklan dan pesanan. Pengiriman lancar tanpa kendala.,4
mendarat dengan selamat meskipun pengiriman lama hampir seminggu... barang segel garansi iBox,4
"Barang sampai dengan aman, masih segel. sejauh ini tidak ada masalah semoga awet terus aamiin",4
entah apa itu dilingkaran kamera mngkin krn barang lama .. maaf kasih bintang 4 selebihnya sih ok blm cek detail,4
"Spill barang2 gemesh, follow tiktok @deaputriskandar😛",4
"Barang masih di greenpeel, keren bgt, pake instant dan cepet sampenya, thank you seller",4
"bintang 4 dulu, makasih udh dikasih yg versi GDN semoga GK ada green screen ya layarnya. cakep bgt sih buat kado cewek gw😭🫶. meskipun gw sendiri msh tim Samsung",4
"mantapppppppp.. oke, packing nya kurang rapi, dan tdk di bungkus kardus",4
"garansi resmi dapat yang SA/A. pesan instan kurir jam 15.45, baru terkirim keesokan harinya jam 12.30.",4
"Pesen siang tapi baru dikirim besoknya, pake kurir rekomendasi jadi tambah lama. Untungnya ada free tempered glass sama case jadi ga terlalu mengecewakan. Barangnya sendiri memuaskan, belum aktif, coverage full setahun ke depan. Bakal reorder lagi next time.",4
Barang yg dikirim kode SA/A. Hpnya pas dipake suka panas kenapa ya? Apa emang gini awal2,4
"barang sesuai deskripsi cuma kendala di pemgiriman , pake kurir rekomendasi sampai sampai 10 hari  (harusnya bisa 3hari) karena barang sempat jalan2 ke kota lain
admin cukup membatu dengan reaposip
semoga bisa diperbaiki untuk model pick up barangnya dari kurir , karena barang saya dipickup hari ke 2, terimakasih",4
"diperbaiki lagi utk bagian pengiriman, saya pesan pake gojek instan estimasi sampa jam 3 sore tapi jam 4 baru dikirim. but overall oke",4
"Saya beli dengan kurir instant,  tp ternyata harus nunggu barang restok jd baru bisa dikirim lusa. Di catalog free tg dan case, pas saya chat juga bilang akan dapet tp pas udah beli ternyata ga dikasih tbtb blg habis. 

Tp trusted barang sesuai dan garansi resmi. Admin jg fast respon. Ya kalau urgent butuh hp lebih baik tanya dulu barang nya ada apa gak",4
"barang oke, pengemasan rapih, tapi sayang pilih pengiriman sameday tapi datangnya 2 hari kemudian",4
"Sejauh ini oke, tapi admin bilang bisa request kode. Request yang PA/A atau FE/A, dikasihnya ID/A. Tulis di chat katanya kalo pada kosong, dikirim mana yang ada. Lhaa buat apa dibilang bisa request? Kocak
Selain itu semuanya aman, warna ijo nya chakep",4
"kata adminnya kode PA ready, tp yg dikirim kode SA.
agak kecewa dikit soalnya udah terlanjur chat admin sebelum order di bilang ready tp ternyata beda -_-
tp yasudah gapapa.
untuk pengiriman dan respon adminnya emang bagus.",4
"produk ok dan ori, sempat lama di pengiriman ke Depok sampai 5 hari baru sampai 🙏 sptnya kendala di pengiriman",4
"pengiriman cepat , garansi sesuai yg di request , semoga hp ny awet",4
"kecewa saja kode unit ga sesuai permintaan. mintanya PA/A, yg datang SA/A. 😞",4
Req PA/A karena urgensi malah dikasih SA/A hmm,4
"barang ok makasih yah ismile, sedih gadapet banus.tg sama case",4
"kendala di kurir ID Express aja lambat , gk recommended pake jasanya.",4
"Packing cuma bublle warp aja?, tp ya sudahlah.. Untung saya ansuransikan pengiriman. Terima kasih",4
"bagus, sesuai lah dan berfungsi dgn baik",4
"hadeuhh, hati hati aja",4
MasyaAllah tabarakallah semoga awet ❤️,4
udah req PA/A si tapi ya gitu la,4
good but ekspedisinya lumayan lama,4
Cuman kurang bonusnya aja 😁,4
Minta Tam dikirim GdN itu aja sih overal yg lain aman,4
Good qualityy,4
nice,4
Oke tp blm dipakai akan direview balik,4
sesuai,4
dikasih yg id/a bkn pa/a,4
ok,4
mantaappp...kurir nya aja yg lelet. barang josss,4
Packing kurang aman,4
plastik luarnya gak ada,4
mau yg ibox dptny gdn huhu,4
Mantapp,4
Ok,4
sip,4
minta black dikirim blue,4
pesan ibox dikirimnya gdn...,4
cukup bintang yg bicara,4
"Barang original, pengiriman cepat, harga bersahabat, dapat bonus case bening dan tempered glass, chat penjual fast respon",5
"pengemasan sangat rapi,produk ori garansi resmi,pengiriman cepat ,seller respon baik.",5
"Barang masih segel dan bergaransi resmi
Penjual ramah dan responsif",5
"pengiriman reguler seperti prediksi dan cepat
packing aman
kondisi setelah buka aman, warna sesuai
ada bonus chasing dan screen protector
kondisi on sinyal ada
terima kasih",5
Pengiriman cepat dan aman. Barang dikemas dengan baik dan tebal. Barang bisa berfungsi dengan baik. Admin juga cepat menjawab pertanyaan-pertanyaan di chat. Terima kasih.,5
"Resmi, Segel , Seller ramah, Garansi,Sameday sehari sampe",5
Paket aman sampai tujuan. Barang bagus original dan penjualnya fast respon 👍. recommended seller,5
"Barang original, bergaransi resmi, IMEI aman, dapat free asuransi fisik produk 1 tahun. Sudah dicoba dan semua fitur berfungsi dengan baik. Proses pengiriman agak lama (di seller), padahal yang saya pilih adalah next day.",5
"sempet ragu awalnya beli disini, tapi ternyata memuaskan banget, pengiriman juga cepet bgt, produk original, garansi resmi, pengiriman juga cepet!",5
"Sampai dg selamat sesuai estimasi waktu dan utuh,bubble wraps tebel bgt,barang sesuai pesanan (thanks admin). Barang original(greenpeel,imei terdaftar,garansi aple 1 th).",5
"Respon dan pengiriman super cepat,
penjualnya ramah, komunikatif.
barang sdh di terima dengan baik dan normal.
terimakasih seller 
terimakasih Tokopedia 
sukses selalu",5
Barangnya masih di segel. barang ori cepat nyampe ke NTT hanya 7 hari garansi resmi kode PA/A mantap tokonya.,5
Barang masih disegel waktu sampai & ada garansi resminya Berfungsi dengan baik! Kualitas barang original pasti top.,5
"Respon penjual baik dan peduli
Kualitas HP ori Apple iPhone
Pengiriman cepat
Dapat kartu garansi iBox
Rekomen toko",5
"makasih, pesanan iphone 13 saya sudah sampai dalam kondisi aman dan berfungsi dengan baik, packing aman menggunakan bubble wrap. semoga awet dan tahan lama..",5
"Pengemasan produk aman, barang ori dan segel.. hanya saja sudah request di notes minta kode PA/A tapi dikirimnya produk kode SA/A, its oke sih cuma harusnya lebih teliti lagi soalnya bilang produk PA/A ready tapi nyatanya ngga dikirim sesuai notes",5
"Barang masih segel dan ada garansi resminya, moga awet",5
"jujur aku jarang beli barang yang mahal dan ad ketakutan ketika beli tetapi setelah aku ngobrol sama admin nya ternyata di yakin dan ramah banget, alhamdulillah barang nya sampai dengan selamat meskipun saya tanyain terus ke admin nya soal pengiriman nya tapi admin nya tetap balas nya cepat dan ramah, thnks buat admin nya🙏😄",5
"Alhamdulillah sudah sampai,pengiriman nya cepet banget,new masih segel ,garansi aktif waktu pembelian..makasih admin",5
"Barang Original Bergaransi Resmi ,sesuai request dapat Kode unit PA/A ,untuk saat ini masih aman2 saja,semoga kedepannya tidak ada kendala,terima kasih ISMILE & Tokopedia,puas belanja di sini harga murah,pengiriman cepat dan aman.",5
Bubble wrap lumayan tebel dan pas terbuka... taraaaa... beneran asli original TAM. Gak usah ragu beli iPhone di Toko ini. Terima kasih seller dan Tokopedia.,5
"imei terdaftar, produk ori. sudah ke 3x blanja di store ini dan tidak pernah ragu”  soal keaslian produknya👍",5
"Ud pakai hari ke 3 so far baik aja. Barang ori, pengiriman cepat, admin responsif. Semoga awet ya..",5
"Warna dan memori sesuai, pengirimannya cukup cepat, kondisi mulus, garansi ibox. Thank you",5
"barang masih segel di jamin original sudah tiba dengan dan bisa di gunakan dengan baik tanpa kendala , Morowali 🙏
terimakasih ismile",5
